ticker,company,date,movement,headline
GOOGL,Alphabet Inc,20190213,-8.04,UPDATE 1-Google to spend over $13 bln on U.S. data centers  offices 
GOOGL,Alphabet Inc,20190205,19.64,Alphabet's higher spending worries investors  shares dip 
GOOGL,Alphabet Inc,20190205,19.64,UPDATE 1-Renault-Nissan alliance  Google to partner on self-driving cars - Nikkei 
GOOGL,Alphabet Inc,20190205,19.64,Renault-Nissan alliance  Google to partner on self-driving cars - Nikkei 
GOOGL,Alphabet Inc,20190205,19.64,UPDATE 3-Alphabet's higher spending worries investors  shares dip 
GOOGL,Alphabet Inc,20190204,10.62,UPDATE 2-Alphabet beats Wall St estimates  but spending worries investors 
GOOGL,Alphabet Inc,20190204,10.62,Alphabet fourth-quarter revenue  profit beat estimates 
GOOGL,Alphabet Inc,20190204,10.62,US STOCKS-Tech boosts S&P  Nasdaq; healthcare weighs on Dow 
GOOGL,Alphabet Inc,20190204,10.62,US STOCKS-Wall Street flat as tech boost offset by lower oil prices 
GOOGL,Alphabet Inc,20190204,10.62,US STOCKS-Wall Street set to open flat with Alphabet results on tap 
GOOGL,Alphabet Inc,20190204,10.62,CORRECTED-US STOCKS-Futures eke out gains ahead of Alphabet results 
AABA,Altaba Inc,20190325,1.47,UPDATE 3-Tencent shareholder Naspers plots Euronext e-commerce listing 
AABA,Altaba Inc,20190319,-0.11,UPDATE 2-Makeup brand Glossier valued at over $1 bln in latest funding round 
AMRN,Amarin Corporation plc,20190318,-1.82,Amarin's Vascepa cuts occurrence of serious heart problems 30 percent: study 
AMRN,Amarin Corporation plc,20190318,-1.82,Amarin's Vascepa cuts occurrence of serious heart problems 30 pct -study 
AMZN,Amazoncom Inc,20190404,8.35,Jeff Bezos to keep Amazon voting power after divorce 
AMZN,Amazoncom Inc,20190404,8.35,UPDATE 4-Jeff Bezos to keep Amazon voting power after divorce 
AMZN,Amazoncom Inc,20190404,8.35,Amazon plans to launch over 3 000 satellites to offer broadband internet 
AMZN,Amazoncom Inc,20190404,8.35,CORRECTED-UPDATE 2-Jeff Bezos' ex-wife cedes control of Amazon in divorce deal 
AMZN,Amazoncom Inc,20190404,8.35,UPDATE 1-Amazon plans to launch over 3 000 satellites to offer broadband internet 
AMZN,Amazoncom Inc,20190404,8.35,Jeff Bezos to retain 75 pct of couple's Amazon stake after divorce 
AMZN,Amazoncom Inc,20190404,8.35,Amazon plans to launch satellites to offer broadband internet 
AMZN,Amazoncom Inc,20190404,8.35,Trump orders crackdown on counterfeit sales online 
AMZN,Amazoncom Inc,20190404,8.35,Facebook removes exposed user records stored on Amazon's servers 
AMZN,Amazoncom Inc,20190404,8.35,UPDATE 2-Facebook removes exposed user records stored on Amazon's servers 
AMZN,Amazoncom Inc,20190403,-6.07,Amazon.com should share web domain name rights  Brazil says 
AMZN,Amazoncom Inc,20190403,-6.07,Amazon.com should share web domain name rights  Brazil says 
AMZN,Amazoncom Inc,20190403,-6.07,UPDATE 3-Trump orders crackdown on counterfeit sales online 
AMZN,Amazoncom Inc,20190403,-6.07,Millions of Facebook records found on Amazon cloud servers - UpGuard 
AMZN,Amazoncom Inc,20190403,-6.07,Trump signs order aimed at stopping sale of counterfeit products through Alibaba  Amazon  Ebay  others 
AMZN,Amazoncom Inc,20190401,10.91,Amazon now taking cash at Mexico's top corner store Oxxo 
AMZN,Amazoncom Inc,20190401,10.91,UPDATE 1-Amazon now taking cash at Mexico's top corner store Oxxo 
AMZN,Amazoncom Inc,20190328,16.58,Zara founder's real estate arm buys Amazon offices in Seattle 
AMZN,Amazoncom Inc,20190328,16.58,Zara founder's real estate arm buys Amazon offices in Seattle 
AMZN,Amazoncom Inc,20190327,-14.13,PetroTal resumes oil production in Peru after seizure of oil block by locals 
AMZN,Amazoncom Inc,20190327,-14.13,Democratic White House contender Warren targets corporate agriculture 
AMZN,Amazoncom Inc,20190327,-14.13,Democratic White House contender Warren targets corporate agriculture 
AMZN,Amazoncom Inc,20190327,-14.13,Amazon  Volkswagen agree strategic partnership for 'industry cloud': report 
AMZN,Amazoncom Inc,20190327,-14.13,"Amazon  Volkswagen agree strategic partnership for ""industry cloud"" - report "
AMZN,Amazoncom Inc,20190321,13.91,Ford names Amazon veteran Tim Stone as CFO 
AMZN,Amazoncom Inc,20190321,13.91,UPDATE 2-Ford names Amazon veteran Tim Stone as CFO 
AMZN,Amazoncom Inc,20190321,13.91,Closing time? Japan convenience stores pressed to end 24-7 model amid labor crunch 
AMZN,Amazoncom Inc,20190320,26.32,Exclusive: Walmart's Chief Technology Officer leaves company as e-commerce wars flare 
AMZN,Amazoncom Inc,20190320,26.32,Closing time? Japan convenience stores pressed to end 24-7 model amid labour crunch 
AMZN,Amazoncom Inc,20190320,26.32,Bezos-backed startup partners with Brazil retailer GPA to sell plant-based products 
AMZN,Amazoncom Inc,20190314,11.8,Microsoft targets video game developers  in challenge to Amazon's cloud dominance 
AMZN,Amazoncom Inc,20190314,11.8,UPDATE 1-Microsoft targets video game developers  in challenge to Amazon's cloud dominance 
AMZN,Amazoncom Inc,20190314,11.8,Microsoft targets video game developers  in challenge to Amazon's cloud dominance 
AMZN,Amazoncom Inc,20190314,11.8,France's Monoprix working on expanding grocery alliance with Amazon 
AMZN,Amazoncom Inc,20190314,11.8,France's Monoprix working on expanding grocery alliance with Amazon 
AMZN,Amazoncom Inc,20190312,14.0,Amazon lifts restriction on sellers criticized as anti-competitive: source 
AMZN,Amazoncom Inc,20190312,14.0,Micro-investing startup Stash raises $65 mln  launches stock rewards program 
AMZN,Amazoncom Inc,20190311,42.88,UPDATE 1-Amazon lifts restriction on sellers criticized as anti-competitive -source 
AMZN,Amazoncom Inc,20190311,42.88,Amazon lifts restriction on sellers criticized as anti-competitive -source 
AMZN,Amazoncom Inc,20190311,42.88,Breakingviews - Big Tech's best bet is to friend U.S. regulation 
AMZN,Amazoncom Inc,20190311,42.88,Breakingviews - Brexit tips Ireland into economic purgatory 
AMZN,Amazoncom Inc,20190307,-63.36,Kroger's $3 billion splurge set to hit earnings  shares slide 
AMZN,Amazoncom Inc,20190307,-63.36,UPDATE 4-Kroger's $3 bln splurge set to hit earnings  shares slide 
AMZN,Amazoncom Inc,20190307,-63.36,Kroger fourth-quarter profit slides as investments weigh 
AMZN,Amazoncom Inc,20190307,-63.36,Amazon to close U.S. pop-up stores  focus on opening more book stores 
AMZN,Amazoncom Inc,20190306,-28.6,UPDATE 3-Amazon to close U.S. pop-up stores  focus on opening more book stores 
AMZN,Amazoncom Inc,20190306,-28.6,Amazon  Berkshire  JPMorgan healthcare company to be called Haven 
AMZN,Amazoncom Inc,20190306,-28.6,Amazon  Berkshire  JPMorgan healthcare company to be called Haven 
